"id","occupation_type","urban_contiguity","establishment_time","real_estate","special_zone","protected_areas","preservation_areas","risk_situation","risk_susceptibility","parcels_access","parcels_layout","parcels_distance","buildings_condition","infrastructure_condition"
"NUI2526","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2528","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","142_Partial"
"NUI2530","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2531","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2532","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2533","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","141_Adequate"
"NUI2534","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2535","12_Informal","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2536","12_Informal","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","142_Partial"
"NUI2537","12_Informal","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","142_Partial"
"NUI2538","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","143_Inadequate"
"NUI2539","11_Slum","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2540","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2541","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","142_Partial"
"NUI2542","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","112_Undefined","121_Present","131_Adequate","141_Adequate"
"NUI2543","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2544","11_Slum","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2545","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2546","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2547","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2548","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2549","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2550","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2551","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2552","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2553","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2554","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2555","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2556","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2557","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","142_Partial"
"NUI2558","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","142_Partial"
"NUI2559","12_Informal","42_Periphery or remote","22_>10y","31_Increase","53_N.A","61_Yes","71_Yes","81_Yes","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","142_Partial"
"NUI2560","12_Informal","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2561","12_Informal","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2562","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2563","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","143_Inadequate"
"NUI2564","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2565","12_Informal","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","143_Inadequate"
"NUI2566","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2567","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2568","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","141_Adequate"
"NUI2569","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2570","12_Informal","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2571","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2572","11_Slum","41_Central","22_>10y","33_Decrease","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","143_Inadequate"
"NUI2573","12_Informal","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2574","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2575","12_Informal","41_Central","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2576","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2577","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2578","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","143_Inadequate"
"NUI2579","11_Slum","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","121_Present","132_Mixed","142_Partial"
"NUI2580","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2581","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2582","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2583","11_Slum","42_Periphery or remote","21_<10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2584","11_Slum","42_Periphery or remote","21_<10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2585","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","121_Present","133_Inadequate","143_Inadequate"
"NUI2586","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","134_N.A","144_N.A"
"NUI2587","12_Informal","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","142_Partial"
"NUI2588","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","81_Yes","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","143_Inadequate"
"NUI2589","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2590","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2591","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2592","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2593","11_Slum","42_Periphery or remote","22_>10y","33_Decrease","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","143_Inadequate"
"NUI2594","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2595","11_Slum","42_Periphery or remote","22_>10y","33_Decrease","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2596","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","142_Partial"
"NUI2597","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2598","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2599","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2600","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2601","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2602","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2603","11_Slum","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2604","11_Slum","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2605","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2606","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","143_Inadequate"
"NUI2607","11_Slum","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","142_Partial"
"NUI2608","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","143_Inadequate"
"NUI2502","12_Other type","42_Periphery or remote","21_<10y","32_Stable","51_Yes","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2501","12_Informal","41_Central","22_>10y","32_Stable","51_Yes","62_No","72_No","82_No","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2500","11_Slum","42_Periphery or remote","22_>10y","31_Increase","51_Yes","62_No","71_Yes","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2499","11_Slum","42_Periphery or remote","21_<10y","31_Increase","51_Yes","62_No","71_Yes","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","121_Present","133_Inadequate","143_Inadequate"
"NUI2504","11_Slum","42_Periphery or remote","22_>10y","31_Increase","52_No","62_No","71_Yes","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2503","11_Slum","42_Periphery or remote","22_>10y","33_Decrease","52_No","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","141_Adequate"
"NUI2497","11_Slum","42_Periphery or remote","22_>10y","32_Stable","52_No","62_No","72_No","81_Yes","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","134_N.A","144_N.A"
"NUI2498","11_Slum","41_Central","21_<10y","31_Increase","51_Yes","62_No","72_No","82_No","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2609","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2610","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2611","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2612","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2613","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","142_Partial"
"NUI2614","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2615","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2616","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2617","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2618","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","82_No","93_N.A","102_Mostly_absent","112_Undefined","121_Present","132_Mixed","142_Partial"
"NUI2619","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2620","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2621","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2622","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2623","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2624","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2625","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","142_Partial"
"NUI2626","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2627","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","101_Mostly_present","111_Well-defined","121_Present","132_Mixed","141_Adequate"
"NUI2628","11_Slum","42_Periphery or remote","21_<10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","134_N.A","142_Partial"
"NUI2629","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","142_Partial"
"NUI2630","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2631","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2632","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2633","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2634","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","142_Partial"
"NUI2635","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","82_No","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","142_Partial"
"NUI2636","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","81_Yes","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","133_Inadequate","143_Inadequate"
"NUI2637","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2638","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2639","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2640","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2641","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2642","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
